"GAME_ID","official","home_calls","away_calls","total_calls","home_team","away_team","SCOREMARGIN","year","round","game_num","unique_series_id","team1_wins","team2_wins","team1_wins_prior","team2_wins_prior","uneven","extended","home_team_trailing","trailing_calls","leading_calls"
41400101,"B.Salvatore",10,7,17,"ATL","BKN",7,14,1,1,"14-1-0",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400101,"D.Crawford",4,6,10,"ATL","BKN",7,14,1,1,"14-1-0",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400101,"M.Davis",7,5,12,"ATL","BKN",7,14,1,1,"14-1-0",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400102,"M.Callahan",4,5,9,"ATL","BKN",5,14,1,2,"14-1-0",2,0,1,0,TRUE,FALSE,FALSE,5,4
41400102,"M.Smith",7,8,15,"ATL","BKN",5,14,1,2,"14-1-0",2,0,1,0,TRUE,FALSE,FALSE,8,7
41400102,"Z.Zarba",7,6,13,"ATL","BKN",5,14,1,2,"14-1-0",2,0,1,0,TRUE,FALSE,FALSE,6,7
41400103,"J.Crawford",8,8,16,"BKN","ATL",8,14,1,3,"14-1-0",2,1,2,0,TRUE,TRUE,FALSE,8,8
41400103,"R.Garretson",3,7,10,"BKN","ATL",8,14,1,3,"14-1-0",2,1,2,0,TRUE,TRUE,FALSE,7,3
41400103,"T.Brown",6,6,12,"BKN","ATL",8,14,1,3,"14-1-0",2,1,2,0,TRUE,TRUE,FALSE,6,6
41400104,"E.Lewis",5,4,9,"BKN","ATL",5,14,1,4,"14-1-0",2,2,2,1,TRUE,TRUE,FALSE,4,5
41400104,"J.Capers",8,8,16,"BKN","ATL",5,14,1,4,"14-1-0",2,2,2,1,TRUE,TRUE,FALSE,8,8
41400104,"J.Phillips",6,7,13,"BKN","ATL",5,14,1,4,"14-1-0",2,2,2,1,TRUE,TRUE,FALSE,7,6
41400105,"D.Jones",3,3,6,"ATL","BKN",10,14,1,5,"14-1-0",3,2,2,2,FALSE,FALSE,FALSE,0,0
41400105,"J.Williams",4,10,14,"ATL","BKN",10,14,1,5,"14-1-0",3,2,2,2,FALSE,FALSE,FALSE,0,0
41400105,"M.McCutchen",5,4,9,"ATL","BKN",10,14,1,5,"14-1-0",3,2,2,2,FALSE,FALSE,FALSE,0,0
41400106,"E.Malloy",6,7,13,"BKN","ATL",-24,14,1,6,"14-1-0",4,2,3,2,TRUE,FALSE,FALSE,7,6
41400106,"J.Goble",6,10,16,"BKN","ATL",-24,14,1,6,"14-1-0",4,2,3,2,TRUE,FALSE,FALSE,10,6
41400106,"K.Mauer",5,4,9,"BKN","ATL",-24,14,1,6,"14-1-0",4,2,3,2,TRUE,FALSE,FALSE,4,5
41400111,"M.Callahan",8,11,19,"CLE","BOS",13,14,1,1,"14-1-1",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400111,"P.Fraher",2,4,6,"CLE","BOS",13,14,1,1,"14-1-1",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400111,"Z.Zarba",13,14,27,"CLE","BOS",13,14,1,1,"14-1-1",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400112,"B.Salvatore",6,8,14,"CLE","BOS",8,14,1,2,"14-1-1",2,0,1,0,TRUE,FALSE,FALSE,8,6
41400112,"D.Crawford",9,9,18,"CLE","BOS",8,14,1,2,"14-1-1",2,0,1,0,TRUE,FALSE,FALSE,9,9
41400112,"M.Davis",7,5,12,"CLE","BOS",8,14,1,2,"14-1-1",2,0,1,0,TRUE,FALSE,FALSE,5,7
41400113,"D.Guthrie",9,5,14,"BOS","CLE",-8,14,1,3,"14-1-1",3,0,2,0,TRUE,FALSE,FALSE,5,9
41400113,"J.Capers",7,8,15,"BOS","CLE",-8,14,1,3,"14-1-1",3,0,2,0,TRUE,FALSE,FALSE,8,7
41400113,"J.Phillips",5,6,11,"BOS","CLE",-8,14,1,3,"14-1-1",3,0,2,0,TRUE,FALSE,FALSE,6,5
41400114,"J.Goble",12,6,18,"BOS","CLE",-8,14,1,4,"14-1-1",4,0,3,0,TRUE,FALSE,FALSE,6,12
41400114,"L.Richardson",9,15,24,"BOS","CLE",-8,14,1,4,"14-1-1",4,0,3,0,TRUE,FALSE,FALSE,15,9
41400114,"T.Brothers",7,9,16,"BOS","CLE",-8,14,1,4,"14-1-1",4,0,3,0,TRUE,FALSE,FALSE,9,7
41400121,"B.Kennedy",10,6,16,"CHI","MIL",12,14,1,1,"14-1-2",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400121,"K.Fitzgerald",6,7,13,"CHI","MIL",12,14,1,1,"14-1-2",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400121,"S.Foster",6,10,16,"CHI","MIL",12,14,1,1,"14-1-2",1,0,0,0,FALSE,FALSE,FALSE,0,0
41400122,"B.Spooner",4,7,11,"CHI","MIL",9,14,1,2,"14-1-2",2,0,1,0,TRUE,FALSE,FALSE,7,4
41400122,"J.Williams",7,10,17,"CHI","MIL",9,14,1,2,"14-1-2",2,0,1,0,TRUE,FALSE,FALSE,10,7
41400122,"M.McCutchen",8,6,14,"CHI","MIL",9,14,1,2,"14-1-2",2,0,1,0,TRUE,FALSE,FALSE,6,8
41400123,"B.Forte",6,6,12,"MIL","CHI",-7,14,1,3,"14-1-2",3,0,2,0,TRUE,FALSE,FALSE,6,6
41400123,"E.Malloy",5,7,12,"MIL","CHI",-7,14,1,3,"14-1-2",3,0,2,0,TRUE,FALSE,FALSE,7,5
41400123,"K.Mauer",8,7,15,"MIL","CHI",-7,14,1,3,"14-1-2",3,0,2,0,TRUE,FALSE,FALSE,7,8
41400124,"D.Guthrie",3,4,7,"MIL","CHI",2,14,1,4,"14-1-2",3,1,3,0,TRUE,TRUE,FALSE,4,3
41400124,"J.Phillips",10,5,15,"MIL","CHI",2,14,1,4,"14-1-2",3,1,3,0,TRUE,TRUE,FALSE,5,10
41400124,"Z.Zarba",9,11,20,"MIL","CHI",2,14,1,4,"14-1-2",3,1,3,0,TRUE,TRUE,FALSE,11,9
41400125,"J.Crawford",11,4,15,"CHI","MIL",-6,14,1,5,"14-1-2",3,2,3,1,TRUE,TRUE,FALSE,4,11
41400125,"S.Corbin",3,11,14,"CHI","MIL",-6,14,1,5,"14-1-2",3,2,3,1,TRUE,TRUE,FALSE,11,3
41400125,"S.Wright",4,9,13,"CHI","MIL",-6,14,1,5,"14-1-2",3,2,3,1,TRUE,TRUE,FALSE,9,4
41400126,"D.Stafford",7,6,13,"MIL","CHI",-54,14,1,6,"14-1-2",4,2,3,2,TRUE,FALSE,FALSE,6,7
41400126,"M.Callahan",8,3,11,"MIL","CHI",-54,14,1,6,"14-1-2",4,2,3,2,TRUE,FALSE,FALSE,3,8
41400126,"T.Washington",4,5,9,"MIL","CHI",-54,14,1,6,"14-1-2",4,2,3,2,TRUE,FALSE,FALSE,5,4
41400131,"D.Stafford",9,6,15,"TOR","WAS",-7,14,1,1,"14-1-3",0,1,0,0,FALSE,FALSE,FALSE,0,0
41400131,"J.Tiven",5,5,10,"TOR","WAS",-7,14,1,1,"14-1-3",0,1,0,0,FALSE,FALSE,FALSE,0,0
41400131,"M.McCutchen",7,7,14,"TOR","WAS",-7,14,1,1,"14-1-3",0,1,0,0,FALSE,FALSE,FALSE,0,0
41400132,"B.Kennedy",8,9,17,"TOR","WAS",-11,14,1,2,"14-1-3",0,2,0,1,TRUE,FALSE,TRUE,8,9
41400132,"C.Kirkland",8,8,16,"TOR","WAS",-11,14,1,2,"14-1-3",0,2,0,1,TRUE,FALSE,TRUE,8,8
41400132,"S.Foster",12,7,19,"TOR","WAS",-11,14,1,2,"14-1-3",0,2,0,1,TRUE,FALSE,TRUE,12,7
41400133,"J.Goble",4,4,8,"WAS","TOR",7,14,1,3,"14-1-3",0,3,0,2,TRUE,FALSE,TRUE,4,4
41400133,"S.Corbin",7,13,20,"WAS","TOR",7,14,1,3,"14-1-3",0,3,0,2,TRUE,FALSE,TRUE,7,13
41400133,"T.Brothers",11,13,24,"WAS","TOR",7,14,1,3,"14-1-3",0,3,0,2,TRUE,FALSE,TRUE,11,13
